angle,heat,field,emission,x_m,ne,ni,nn,Te,Ti,Tn,Ve,Vi,Vn,E,Pot
6,0,2.2,0.8,3.9293,2.53E+19,2.53E+19,4.98995E+14,227.858,560.312,0.00343,-0.000554304,-0.000652608,-0.00254,-2557.154,997.5317
6,0.1,2.2,0.8,3.9293,4.51E+19,4.51E+19,3.34811E+14,300.018,786.8785,0,-0.000319979,-0.000341507,-0.00685,972.3622,1362.718
6,0.2,2.2,0.8,3.9293,7.87E+19,7.88E+19,7.2569E+14,354.5355,890.1666,0,-0.000228327,-0.00019173,-0.00249,-1763.181,1643.622
6,0,1,0.8,3.9293,2.02E+19,2.02E+19,3.7181E+14,202.4761,465.9111,0,-0.000765041,-0.000773988,-0.00421,1765.115,886.8328
6,0,4,0.8,3.9293,1.72E+20,1.72E+20,4.15148E+14,435.5251,920.6003,0.00902,-0.000167152,-0.000126789,0.00592,5264.794,2232.736
6,0,2.2,0,3.9293,2.07E+19,2.06E+19,2.72362E+15,198.5743,455.5141,0.0476,-0.000748731,-0.000817126,0.000293373,3094.954,820.481
6,0,2.2,1,3.9293,7.14E+19,7.14E+19,2.07997E+14,335.1628,872.1559,0,-0.00017985,-0.000229177,-0.01474,-3588.791,1552.021
4,0,2.2,0.8,3.9293,4.51E+19,4.51E+19,3.34811E+14,300.018,786.8785,0,-0.000319979,-0.000341507,-0.00685,972.3622,1362.718
4,0.1,2.2,0.8,3.9293,7.96E+19,7.97E+19,1.27703E+14,363.571,878.0989,0,-0.000205983,-0.000195414,0.00255,-9552.265,1709.072
4,0.2,2.2,0.8,3.9293,1.37E+20,1.37E+20,5.33025E+14,420.0826,917.6212,0,-0.000110494,-0.000101543,0.00254,-14530.49,2150.731
4,0,1,0.8,3.9293,2.53E+19,2.53E+19,4.98995E+14,227.858,560.312,0.00343,-0.000554304,-0.000652608,-0.00254,-2557.154,997.5317
4,0,4,0.8,3.9293,1.87E+20,1.87E+20,3.7597E+14,456.6939,915.5467,0,-0.000121952,-7.11E-05,0.00289,-2854.693,2242.587
4,0,2.2,0,3.9293,2.02E+19,2.02E+19,3.7181E+14,202.4761,465.9111,0,-0.000765041,-0.000773988,-0.00421,1765.115,886.8328
4,0,2.2,1,3.9293,1.18E+20,1.18E+20,5.49999E+14,402.0435,912.5292,0.00841,-2.70E-05,-0.000135957,-0.01154,7535.271,2010.655
1.5,0,2.2,0.8,3.9293,7.99E+19,7.98E+19,1.27701E+14,368.5825,879.2531,0,-0.000256563,-0.000207426,0.00278,7047.682,1622.176
1.5,0.1,2.2,0.8,3.9293,1.20E+20,1.20E+20,4.88587E+14,420.7096,907.5353,0,-8.07E-05,-0.000150469,-0.01212,-3884.903,2406.729
1.5,0.2,2.2,0.8,3.9293,1.39E+20,1.39E+20,1.44692E+15,439.1269,917.3781,0,-0.000158799,-0.000101987,0.00751,3467.544,2612.703
1.5,0,1,0.8,3.9293,2.02E+19,2.02E+19,3.7181E+14,202.4761,465.9111,0,-0.000765041,-0.000773988,-0.00421,1765.115,886.8328
1.5,0,4,0.8,3.9293,1.79E+20,1.79E+20,5.0099E+14,492.4171,921.226,0,0.000115259,-0.000116412,0.0064,489.9351,2809.899
1.5,0,2.2,0,3.9293,4.51E+19,4.51E+19,3.34811E+14,300.018,786.8785,0,-0.000319979,-0.000341507,-0.00685,972.3622,1362.718
1.5,0,2.2,1,3.9293,1.72E+20,1.72E+20,3.51566E+14,420.0826,920.6003,0,-0.000167152,-5.96E-05,0.00592,5264.794,2232.736
